id,symbol,name,current_price,market_cap,total_volume
bitcoin,btc,Bitcoin,78063.0,1564687488269,23803054520
ethereum,eth,Ethereum,2183.17,263641135722,9429037374
tether,usdt,Tether,0.999563,189773578258,38504815934
binancecoin,bnb,BNB,654.2,88223830696,705434021
ripple,xrp,XRP,1.42,87699943315,1332868782
usd-coin,usdc,USDC,0.9999,76965694580,5909942834
solana,sol,Solana,86.71,50149272691,1971493514
tron,trx,TRON,0.354304,33583564741,472066693
figure-heloc,figr_heloc,Figure Heloc,1.039,18522161508,219506989
dogecoin,doge,Dogecoin,0.109888,16965635774,797920390
whitebit,wbt,WhiteBIT Coin,57.6,12260489109,64553827
usds,usds,USDS,0.999695,11192583889,30599650
hyperliquid,hype,Hyperliquid,42.75,10219305258,346560185
cardano,ada,Cardano,0.255928,9476028735,245065832
leo-token,leo,LEO Token,10.05,9251132184,1156781
zcash,zec,Zcash,516.01,8631187259,386987143
bitcoin-cash,bch,Bitcoin Cash,415.01,8316010380,225847044
monero,xmr,Monero,388.55,7171966682,84610347
chainlink,link,Chainlink,9.76,7098183265,275969073
canton-network,cc,Canton,0.153435,5917174185,17570579
