id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,78063.0,1564687488269,1,1564687488269,23803054520,78466.0,77698.0,-310.12957085286325,-0.39571,-5350805528.134766,-0.34081,20030493.0,20030493.0,21000000.0,126080.0,-38.08481,2025-10-06T18:57:42.558Z,67.81,115021.30256,2013-07-06T00:00:00.000Z,,2026-05-17T08:21:12.624Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2183.17,263641135722,2,263641135722,9429037374,2194.73,2165.46,-9.892917948346167,-0.4511,-1077978541.980896,-0.40722,120685788.7944472,120685788.7944472,,4946.05,-55.86028,2025-08-24T19:21:03.333Z,0.432979,504121.36586,2015-10-20T00:00:00.000Z,"{'times': 36.396023620295466, 'currency': 'btc', 'percentage': 3639.6023620295464}",2026-05-17T08:21:12.833Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999563,189773578258,3,195238102430,38504815934,0.99958,0.999451,8.014e-05,0.00802,17021791.0,0.00897,189857486520.226,195324426827.8562,,1.32,-24.45254,2018-07-24T00:00:00.000Z,0.572521,74.59008,2015-03-02T00:00:00.000Z,,2026-05-17T08:21:13.146Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,654.2,88223830696,4,88223830696,705434021,661.37,650.12,-5.569647152235916,-0.84419,-759694684.1627502,-0.85375,134785348.55,134785348.55,200000000.0,1369.99,-52.24823,2025-10-13T08:41:24.131Z,0.0398177,1642875.9243,2017-10-19T00:00:00.000Z,,2026-05-17T08:21:12.810Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.42,87699943315,5,141822297633,1332868782,1.42,1.4,0.0012391,0.08755,190047622.0,0.21717,61829045420.0,99985666473.0,100000000000.0,3.65,-61.15136,2025-07-18T03:40:53.808Z,0.00268621,52634.89664,2014-05-22T00:00:00.000Z,,2026-05-17T08:21:12.469Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.9999,76965694580,6,76964200578,5909942834,0.999973,0.999446,0.00011344,0.01135,10826220.0,0.01407,76981636724.50462,76980142412.60979,,1.043,-4.17492,2018-11-15T00:00:00.000Z,0.877647,13.92977,2023-03-11T08:02:13.981Z,,2026-05-17T08:21:13.454Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,86.71,50149272691,7,54340773616,1971493514,87.5,85.69,-0.7262887702135998,-0.83061,-401493100.157814,-0.79424,578162576.0062519,626485689.0184329,,293.31,-70.43601,2025-01-19T11:15:27.957Z,0.500801,17215.19705,2020-05-11T19:35:23.449Z,,2026-05-17T08:21:12.604Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/photo_2026-04-13_09-59-16.png?1776048311,0.354304,33583564741,8,33584043850,472066693,0.355439,0.350839,0.00294445,0.83802,272884878.0,0.81921,94800056309.32709,94801408742.83,,0.431288,-17.84985,2024-12-04T00:10:40.323Z,0.00180434,19536.19519,2017-11-12T00:00:00.000Z,"{'times': 185.47581331636138, 'currency': 'usd', 'percentage': 18547.58133163614}",2026-05-17T08:21:01.042Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.039,18522161508,9,18522161508,219506989,1.039,1.028,0.0075462,0.73188,178910964.0,0.97535,17833434276.677,17833434276.677,,1.049,-1.00071,2026-03-09T17:00:25.937Z,0.155357,568.53935,2025-10-31T14:27:24.456Z,,2026-05-17T08:21:05.215Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.109888,16965635774,10,16965906311,797920390,0.110265,0.108005,-0.000301545707571224,-0.27366,-36416390.408311844,-0.21419,154268956383.7052,154271416383.7052,,0.731578,-84.97937,2021-05-08T05:08:23.458Z,8.69e-05,126347.55151,2015-05-06T00:00:00.000Z,,2026-05-17T08:21:04.199Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,57.6,12260489109,11,18394807370,64553827,57.83,57.27,-0.19181270978276643,-0.33191,-40828459.88341713,-0.3319,212858550.0,319358550.0,400000000.0,64.11,-10.13651,2025-12-10T20:16:13.582Z,3.06,1781.56154,2023-02-13T19:01:21.899Z,,2026-05-17T08:21:02.404Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999695,11192583889,12,11192583889,30599650,0.999824,0.99962,-3.7076882176357e-05,-0.00371,-2787873.797498703,-0.0249,11195999181.3336,11195999181.3336,,1.15,-13.22565,2026-04-02T07:21:14.655Z,0.948265,5.42593,2024-10-03T13:19:28.826Z,,2026-05-17T08:21:03.642Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,42.75,10219305258,13,41251584662,346560185,42.87,40.54,0.820921,1.95781,214832124.0,2.14736,238385315.9541414,962274028.9541414,1000000000.0,59.3,-27.91084,2025-09-18T03:30:30.650Z,3.81,1022.45795,2024-11-29T09:30:30.871Z,,2026-05-17T08:21:07.013Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.255928,9476028735,14,11526602899,245065832,0.256498,0.25275,0.00042985,0.16824,24391462.0,0.25807,36994533150.30761,45000000000.0,45000000000.0,3.09,-91.70926,2021-09-02T06:00:10.474Z,0.01925275,1229.3055,2020-03-13T02:22:55.044Z,,2026-05-17T08:21:06.389Z
